gnbid,type,timestamp,SM5G_PDU_SESSION_INACTIVE,MM5G_DEREGISTERED,MM5G_NULL,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING,SM5G_PDU_SESSION_ACTIVE,DataPlaneReady
0000000118,3,1764420211742503200,0.023808,0.320512,0.023552,229.821184,291.779072,313.62432,549.628672,573.390848
0000000318,5,1764420211760617500,0.06272,0.390144,0.060928,212.406272,273.682176,294.9568,531.841024,555.163648
0000000219,4,1764420212241863700,0.032512,0.844288,0.031744,77.195008,355.591424,376.32256,617.917184,641.118208
0000000119,3,1764420212242044200,0.03328,0.80768,0.032768,77.73568,355.24608,376.537088,617.768704,5642.112512
0000000319,5,1764420212260733200,0.023808,0.35712,0.023552,59.074816,336.53888,357.93664,602.196992,625.531136
0000000120,3,1764420212742809600,0.238848,0.798976,0.235776,129.948416,197.9392,218.645248,459.168768,482.915584
0000000220,4,1764420212742879500,0.146944,0.652032,0.146432,129.093888,197.7856,218.39232,458.925568,482.845696
0000000320,5,1764420212761392600,0.027136,0.43136,0.02688,110.729728,179.33184,200.396032,438.59456,464.344064
0000000221,4,1764420213242858800,0.081408,0.60672,0.080384,187.79904,247.517952,269.341184,505.716992,5529.336576
0000000121,3,1764420213243313000,0.062464,0.43264,0.06144,187.274496,246.532352,267.527424,504.259328,527.685376
